chapter,verse,abenaki,english,french
1,1,U waji m8jatak Sazos ol8jmow8gan kchiniwaskw wnam8na;,"The beginning of the gospel of Jesus Christ, the Son of God;","Commencement de la Bonne Nouvelle de Jésus Christ, le Fils de Dieu;"
1,2,"Akw8bawikh8zik nik8niwaw8jmowinnowikoktali, L8bi, knik8ni atkwai pjidakawlen noji kiwagimok, t8nwaji kata wlitokw akw8b8saan.","As it is written in the prophets, Behold, I send my messenger before thy face, which shall prepare thy way before thee.","Il était écrit dans le livre du prophète Isaïe : Voici que j'envoie mon messager devant toi, pour préparer la route."
1,3,"Pazgo pizwakamigok pmi li k8g8lwa, Kataiwi kistokw akw8bosatji kz8gm8mna, sasagitokw wd8wdial.","The voice of one crying in the wilderness, Prepare ye the way of the Lord, make his paths straight.","A travers le désert, une voix crie : Préparez le chemin du Seigneur,aplanissez sa route."
1,4,Az8 pmi sogneb8lwassa pizwakamigok ta kinohomassossa 8nalzowi sogneb8zw8gan waji anhaldam8wadimek saagawak8zw8ganal.,"John did baptize in the wilderness, and preach the baptism of repentance for the remission of sins.",Et Jean le Baptiste parut dans le désert. Il proclamait un baptême de conversion pour le pardon des péchés.
1,5,"Ni mziwi Judea wjiaak wdellosan8ssa agma ait ta wjiaak Jerusalem, ni wzogneb8lgon8ssa tali Jordini sibok, lahal8mlohozin8l wzaagawak8zw8ganow8l.","And there went out unto him all the land of Judaea, and they of Jerusalem, and were all baptized of him in the river of Jordan, confessing their sins.","Toute la Judée, tout Jérusalem, venait à lui. Tous se faisaient baptiser par lui dans les eaux du Jourdain, en reconnaissant leurs péchés."
1,6,"Ta Az8 lasawassa kamali piasoal ta awakassa madageni kwetgwabizon adottaktak wloganikok, ta lipossa sigiliamwiia ta pizwakamigwi wawil8mwai sogal.","And John was clothed with camel's hair, and with a girdle of a skin about his loins; and he did eat locusts and wild honey.","Jean était vêtu de poil de chameau, avec une ceinture de cuir autour des reins, et il se nourrissait de sauterelles et de miel sauvage."
1,7,"Ta kinohomassossa, idam, pazgo wdaok s8khosa paamitbezzit 8daki nia; agwachi 8da ndabin8gwziwen waji nawasiaia ni nd8bnemmen wmakzen8bi.","And preached, saying, There cometh one mightier than I after me, the latchet of whose shoes I am not worthy to stoop down and unloose.",Il proclamait : Voici venir derrière moi celui qui est plus puissant que moi. Je ne suis pas digne de me courber à ses pieds pour défaire la courroie de ses sandales.
1,8,Nia kahala knispi sogneb8llebba neppi kanwaji agma knespi sogneb8lgow8 Wijiwliniwaskwiliji.,I indeed have baptized you with water; but he shall baptize you with the Holy Ghost.,"Moi, je vous ai baptisés dans l'eau ; lui vous baptisera dans l'Esprit Saint."
1,9,"Ni pajitbihla ni pamokwnakkiwik sazos oji pai8n Nazereth tali Galilee, ni Az8a wzogneb8lgon8ssa tali Jordon.","And it came to pass in those days, that Jesus came from Nazareth of Galilee, and was baptized of John in Jordan.","Or, à cette époque, Jésus vint de Nazareth, ville de Galilée, et se fit baptiser par Jean dans le Jourdain."
1,10,"Ni annegitta waji kposat nepbik wnamiton spemkial t8wdatal, ta wnamih8 Wijiwliniwaskwiliji paki w8bi pellaz s8khi pnosat ni oskitk8gon.","And straightway coming up out of the water, he saw the heavens opened, and the Spirit like a dove descending upon him:","Au moment où il sortait de l'eau, Jésus vit le ciel se déchirer et l'Esprit descendre sur lui comme une colombe."
1,11,"Ni awani oji k8g8lwan spemkik idak, Kia ngezaldami nnam8n Kia walilawaskawian.","And there came a voice from heaven, saying, Thou art my beloved Son, in whom I am well pleased.",Du ciel une voix se fit entendre : C'est toi mon Fils bien- aimé ; en toi j'ai mis tout mon amour.
1,12,Ta nitta niwaskwa wdelli kwagwnegon pizwakamigok.,And immediately the spirit driveth him into the wilderness.,Aussitôt l'Esprit pousse Jésus au désert.
1,13,Ni ni wdainaza pizwakamigok iawinska kasogwniwi ow8wnemmihogon Madah8ndoa ta aossa pizwakaklmigwi awaassikok ta 8zalia notnegossa.,"And he was there in the wilderness forty days, tempted of Satan; and was with the wild beasts; and the angels ministered unto him.","Et dans le désert il resta quarante jours, tenté par Satan. Il vivait parmi les bêtes sauvages, et les anges le servaient."
1,14,"Ni kizi Az8 kaph8zit, ni Sazos wdali pai8n Galilee, ni wgikinohomassin wl8jmow8gan wajiawik Kchi Niwaskw wginjameswi tbaldamw8ganek.","Now after that John was put in prison, Jesus came into Galilee, preaching the gospel of the kingdom of God.","Après l'arrestation de Jean Baptiste, Jésus partit pour la Galilée proclamer la Bonne Nouvelle de Dieu ; il disait :"
1,15,"Ta idam, ni kizokw pai8moo, Kchiniwaskwi tbaldamw8gan pasotta; 8nalzikw ta wl8mawaldamokwwawasi wl8jmow8gan.","And saying, The time is fulfilled, and the kingdom of God is at hand, repent ye and believe the Gospel.",Les temps sont accomplis : le règne de Dieu est tout proche. Convertissez-vous et croyez à la Bonne Nouvelle.
